timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684310057662,2,Home,200,OK,Thread Group 1-1,text,true,,1351,127,20,20,http://localhost:8080/jpetstore/,2,0,1
1684310057769,2,Home,200,OK,Thread Group 1-2,text,true,,1351,127,21,21,http://localhost:8080/jpetstore/,2,0,0
1684310057851,3,Home,200,OK,Thread Group 1-3,text,true,,1351,127,22,22,http://localhost:8080/jpetstore/,3,0,1
1684310057910,3,Home,200,OK,Thread Group 1-4,text,true,,1351,127,23,23,http://localhost:8080/jpetstore/,3,0,1
1684310057983,2,Home,200,OK,Thread Group 1-5,text,true,,1351,127,24,24,http://localhost:8080/jpetstore/,2,0,0
1684310058068,2,Home,200,OK,Thread Group 1-6,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1684310058164,2,Home,200,OK,Thread Group 1-7,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310058187,3,Home,200,OK,Thread Group 1-8,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,1
1684310058362,1,Home,200,OK,Thread Group 1-9,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684310058412,2,Home,200,OK,Thread Group 1-10,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1684310058502,1,Home,200,OK,Thread Group 1-11,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684310058561,2,Home,200,OK,Thread Group 1-12,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310058653,2,Home,200,OK,Thread Group 1-13,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310058725,3,Home,200,OK,Thread Group 1-14,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,1
1684310058809,2,Home,200,OK,Thread Group 1-15,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1684310058916,2,Home,200,OK,Thread Group 1-16,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310058942,2,Home,200,OK,Thread Group 1-17,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1684310059013,2,Home,200,OK,Thread Group 1-18,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310059065,2,Home,200,OK,Thread Group 1-19,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310059219,3,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059229,3,Home,200,OK,Thread Group 1-20,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,1
1684310059313,2,Home,200,OK,Thread Group 1-21,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310059342,3,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059395,3,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059397,2,Home,200,OK,Thread Group 1-22,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310059454,4,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684310059466,2,Home,200,OK,Thread Group 1-23,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,1
1684310059533,3,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059556,1,Home,200,OK,Thread Group 1-25,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684310059554,3,Home,200,OK,Thread Group 1-24,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,1
1684310059584,3,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059703,4,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684310059738,6,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1684310059900,3,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310059991,3,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060016,3,Main Catalog,200,OK,Thread Group 1-11,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060174,5,Main Catalog,200,OK,Thread Group 1-12,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1684310060216,3,Main Catalog,200,OK,Thread Group 1-13,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060315,4,Main Catalog,200,OK,Thread Group 1-14,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684310060318,3,Main Catalog,200,OK,Thread Group 1-15,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060473,3,Main Catalog,200,OK,Thread Group 1-16,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060491,5,Main Catalog,200,OK,Thread Group 1-17,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1684310060599,2,Main Catalog,200,OK,Thread Group 1-18,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684310060598,4,Main Catalog,200,OK,Thread Group 1-19,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684310060750,7,Login,200,OK,Thread Group 1-1,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=gvCC1ZBA5nxSQJgbybn1W1yOgI_f7Qe73frDcUUK.ppss-vb,4,0,1
1684310060750,4,Login-0,302,Found,Thread Group 1-1,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310060755,2,Login-1,200,OK,Thread Group 1-1,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=gvCC1ZBA5nxSQJgbybn1W1yOgI_f7Qe73frDcUUK.ppss-vb,2,0,0
1684310060777,3,Main Catalog,200,OK,Thread Group 1-20,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060880,3,Main Catalog,200,OK,Thread Group 1-21,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310060901,8,Login,200,OK,Thread Group 1-3,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=PKepVtvH7A9qABtI3d9AsdTs-Z0oxn5ZObuZFPFZ.ppss-vb,5,0,1
1684310060901,5,Login-0,302,Found,Thread Group 1-3,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310060906,3,Login-1,200,OK,Thread Group 1-3,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=PKepVtvH7A9qABtI3d9AsdTs-Z0oxn5ZObuZFPFZ.ppss-vb,3,0,0
1684310060917,12,Login,200,OK,Thread Group 1-2,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=jlSyP0NMY43qIMd5EfDAN_bbHyXWjjq5wuf126ZJ.ppss-vb,8,0,1
1684310060917,8,Login-0,302,Found,Thread Group 1-2,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,8,0,1
1684310060925,4,Login-1,200,OK,Thread Group 1-2,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=jlSyP0NMY43qIMd5EfDAN_bbHyXWjjq5wuf126ZJ.ppss-vb,3,0,0
1684310060969,6,Main Catalog,200,OK,Thread Group 1-22,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1684310061008,6,Login,200,OK,Thread Group 1-4,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=KIM1Mj6Zdm_J2Fh1DyfDCTLq0XUWA3bFPuj1N4Lt.ppss-vb,4,0,0
1684310061008,4,Login-0,302,Found,Thread Group 1-4,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,0
1684310061012,2,Login-1,200,OK,Thread Group 1-4,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=KIM1Mj6Zdm_J2Fh1DyfDCTLq0XUWA3bFPuj1N4Lt.ppss-vb,2,0,0
1684310061066,3,Main Catalog,200,OK,Thread Group 1-23,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310061063,7,Login,200,OK,Thread Group 1-5,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=-6aKoX3Ybw1PYIAEDDs41Ec1YVnwl-K8oRajW30x.ppss-vb,5,0,1
1684310061063,5,Login-0,302,Found,Thread Group 1-5,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310061068,2,Login-1,200,OK,Thread Group 1-5,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=-6aKoX3Ybw1PYIAEDDs41Ec1YVnwl-K8oRajW30x.ppss-vb,2,0,0
1684310061134,3,Main Catalog,200,OK,Thread Group 1-24,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310061151,3,Main Catalog,200,OK,Thread Group 1-25,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684310061174,9,Login,200,OK,Thread Group 1-6,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=ACj4DUSub7LIAs4CZh8IF54K2aAAsarQOtyp6OnX.ppss-vb,6,0,1
1684310061174,6,Login-0,302,Found,Thread Group 1-6,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,6,0,1
1684310061180,3,Login-1,200,OK,Thread Group 1-6,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=ACj4DUSub7LIAs4CZh8IF54K2aAAsarQOtyp6OnX.ppss-vb,3,0,0
1684310061208,8,Login,200,OK,Thread Group 1-8,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=DvANRo3AmfUgFNvVqevFzraWKTdvFFu7HNTXu3q6.ppss-vb,5,0,1
1684310061208,5,Login-0,302,Found,Thread Group 1-8,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310061213,3,Login-1,200,OK,Thread Group 1-8,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=DvANRo3AmfUgFNvVqevFzraWKTdvFFu7HNTXu3q6.ppss-vb,3,0,0
1684310061253,10,Login,200,OK,Thread Group 1-7,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=JdsNE43M036nhnepoQa15Ks4VYncDw1bF94eG3vV.ppss-vb,5,0,1
1684310061253,5,Login-0,302,Found,Thread Group 1-7,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310061258,5,Login-1,200,OK,Thread Group 1-7,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=JdsNE43M036nhnepoQa15Ks4VYncDw1bF94eG3vV.ppss-vb,5,0,0
1684310061415,6,Login,200,OK,Thread Group 1-9,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=gbmpamh2suGjtpz6I612WcE-wSRbJSO6kiqVaVGf.ppss-vb,3,0,0
1684310061415,3,Login-0,302,Found,Thread Group 1-9,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,3,0,0
1684310061419,2,Login-1,200,OK,Thread Group 1-9,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=gbmpamh2suGjtpz6I612WcE-wSRbJSO6kiqVaVGf.ppss-vb,2,0,0
1684310061520,8,Login,200,OK,Thread Group 1-10,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=f0rvOdN0bVdL7scV-cfwKUTDwdta55V_AvmBain_.ppss-vb,5,0,1
1684310061520,5,Login-0,302,Found,Thread Group 1-10,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310061525,3,Login-1,200,OK,Thread Group 1-10,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=f0rvOdN0bVdL7scV-cfwKUTDwdta55V_AvmBain_.ppss-vb,3,0,0
1684310061548,7,Login,200,OK,Thread Group 1-11,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=UAoW-1dpix4GgCsrqXDoLYJ9BFF7HbZJr2q-ADL1.ppss-vb,4,0,0
1684310061548,4,Login-0,302,Found,Thread Group 1-11,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,0
1684310061552,3,Login-1,200,OK,Thread Group 1-11,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=UAoW-1dpix4GgCsrqXDoLYJ9BFF7HbZJr2q-ADL1.ppss-vb,3,0,0
1684310061692,6,Login,200,OK,Thread Group 1-12,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=2GhsT7-rWmbqb58WeJ5b8c4NCWslxajf5Bi14vh5.ppss-vb,3,0,0
1684310061692,3,Login-0,302,Found,Thread Group 1-12,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,3,0,0
1684310061695,3,Login-1,200,OK,Thread Group 1-12,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=2GhsT7-rWmbqb58WeJ5b8c4NCWslxajf5Bi14vh5.ppss-vb,3,0,0
1684310061805,6,Login,200,OK,Thread Group 1-13,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=wV_U9huUleqQ8HbjRgOxqJKWfBxXb32PGMt7HR2l.ppss-vb,3,0,0
1684310061805,3,Login-0,302,Found,Thread Group 1-13,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,3,0,0
1684310061808,3,Login-1,200,OK,Thread Group 1-13,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=wV_U9huUleqQ8HbjRgOxqJKWfBxXb32PGMt7HR2l.ppss-vb,3,0,0
1684310061837,6,Login,200,OK,Thread Group 1-14,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=3CxJufKKKO1TORU1OMi5ctrnDrKir0VnyryPD1Pq.ppss-vb,4,0,1
1684310061837,4,Login-0,302,Found,Thread Group 1-14,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310061841,2,Login-1,200,OK,Thread Group 1-14,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=3CxJufKKKO1TORU1OMi5ctrnDrKir0VnyryPD1Pq.ppss-vb,2,0,0
1684310061868,8,Login,200,OK,Thread Group 1-15,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=Em34pa1mVv1kT-eeHRj6QbTQD0L9SSNTM2q-XH-c.ppss-vb,4,0,1
1684310061868,4,Login-0,302,Found,Thread Group 1-15,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310061872,4,Login-1,200,OK,Thread Group 1-15,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=Em34pa1mVv1kT-eeHRj6QbTQD0L9SSNTM2q-XH-c.ppss-vb,4,0,0
1684310061985,5,Login,200,OK,Thread Group 1-16,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=Oxxgd1tBo9V1G4LmyPUB2c1E5_IKuaSrzJCpjNW0.ppss-vb,3,0,0
1684310061985,3,Login-0,302,Found,Thread Group 1-16,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,3,0,0
1684310061988,2,Login-1,200,OK,Thread Group 1-16,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=Oxxgd1tBo9V1G4LmyPUB2c1E5_IKuaSrzJCpjNW0.ppss-vb,2,0,0
1684310062000,7,Login,200,OK,Thread Group 1-17,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=3kmeln4eZIH90_CMJwTaYBCAiPEQ1j9h64TCsktf.ppss-vb,4,0,1
1684310062000,4,Login-0,302,Found,Thread Group 1-17,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310062005,2,Login-1,200,OK,Thread Group 1-17,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=3kmeln4eZIH90_CMJwTaYBCAiPEQ1j9h64TCsktf.ppss-vb,2,0,0
1684310062177,7,Login,200,OK,Thread Group 1-19,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=9v6ZpZfh-T5cDDWWZp1QIvPvkCT7kob_wUpUNC4H.ppss-vb,4,0,1
1684310062177,4,Login-0,302,Found,Thread Group 1-19,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310062181,3,Login-1,200,OK,Thread Group 1-19,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=9v6ZpZfh-T5cDDWWZp1QIvPvkCT7kob_wUpUNC4H.ppss-vb,3,0,0
1684310062196,10,Login,200,OK,Thread Group 1-18,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=sqA6-1VNIubXo5fCc-4Uo9lPxr0lHKT58MjGT6Z5.ppss-vb,5,0,1
1684310062196,5,Login-0,302,Found,Thread Group 1-18,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310062201,5,Login-1,200,OK,Thread Group 1-18,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=sqA6-1VNIubXo5fCc-4Uo9lPxr0lHKT58MjGT6Z5.ppss-vb,5,0,0
1684310062270,4,Reptiles,200,OK,Thread Group 1-1,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310062364,7,Login,200,OK,Thread Group 1-20,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=XmzSqwroXDUn2G7bPYtVrAcyQj74cTBXzCcABBaj.ppss-vb,4,0,1
1684310062364,4,Login-0,302,Found,Thread Group 1-20,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310062368,3,Login-1,200,OK,Thread Group 1-20,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=XmzSqwroXDUn2G7bPYtVrAcyQj74cTBXzCcABBaj.ppss-vb,3,0,0
1684310062435,3,Reptiles,200,OK,Thread Group 1-2,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062454,5,Reptiles,200,OK,Thread Group 1-3,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,5,0,0
1684310062457,18,Login,200,OK,Thread Group 1-21,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=fZjaUs9iycJ1ZUcKVQc_z-gvGV00kRAKnU8ukvYq.ppss-vb,10,0,0
1684310062457,10,Login-0,302,Found,Thread Group 1-21,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,10,0,0
1684310062467,8,Login-1,200,OK,Thread Group 1-21,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=fZjaUs9iycJ1ZUcKVQc_z-gvGV00kRAKnU8ukvYq.ppss-vb,8,0,0
1684310062528,3,Reptiles,200,OK,Thread Group 1-4,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062549,7,Login,200,OK,Thread Group 1-22,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=BIG72R1lOvIgeKCA8lNzS_oB2mEBPq-wGwwe6lii.ppss-vb,4,0,1
1684310062549,4,Login-0,302,Found,Thread Group 1-22,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310062554,2,Login-1,200,OK,Thread Group 1-22,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=BIG72R1lOvIgeKCA8lNzS_oB2mEBPq-wGwwe6lii.ppss-vb,2,0,0
1684310062625,3,Reptiles,200,OK,Thread Group 1-5,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062632,10,Login,200,OK,Thread Group 1-23,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=SFqE7dfhiaQkIbD6K6TJXRhoBZwuJ0PEPxFWoSPH.ppss-vb,5,0,1
1684310062632,5,Login-0,302,Found,Thread Group 1-23,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
